real,brigthness0,motion0,sleep0,brigthness1,motion1,sleep1,brigthness2,motion2,sleep2,brigthness3,motion3,sleep3
1,1,1,89,1,5,58,1,3,88,1,1,82
1,1,2,96,1,4,75,1,5,68,1,3,88
1,2,1,77,1,4,75,1,5,58,1,3,88
1,2,1,87,1,1,89,1,5,58,1,3,88
0,2,4,62,1,1,89,1,5,58,1,5,68
0,3,4,27,1,2,96,1,4,75,1,5,68
0,1,4,33,2,1,77,1,4,75,1,5,58
0,1,4,23,2,1,87,1,1,89,1,5,58
0,1,5,59,2,4,62,1,1,89,1,5,58
0,2,5,43,3,4,27,1,2,96,1,4,75
0,2,5,43,1,4,33,2,1,77,1,4,75
0,2,4,66,1,4,23,2,1,87,1,1,89
0,2,1,59,1,5,59,2,4,62,1,1,89
1,3,4,22,2,5,43,3,4,27,1,2,96
1,3,1,45,2,5,43,1,4,33,2,1,87
0,3,3,38,2,4,66,1,4,23,2,4,62
0,3,4,66,2,1,59,1,5,59,2,4,62

0,1,3,77,1,6,10,1,6,28,1,1,92
0,1,4,60,1,6,10,1,6,16,1,6,20
0,1,4,80,1,5,51,1,6,16,1,6,27
0,1,4,80,1,5,36,1,6,16,1,4,75
0,1,4,76,1,5,36,1,6,28,1,6,20
0,1,1,89,1,6,12,1,6,10,1,6,20
0,1,3,86,1,3,77,1,6,10,1,6,28
0,1,1,90,1,4,60,1,5,51,1,6,16
0,1,4,83,1,4,80,1,5,36,1,6,16
0,1,3,90,1,4,76,1,5,36,1,6,28
0,1,1,90,1,1,89,1,3,77,1,6,10
0,1,4,83,1,1,90,1,4,80,1,5,51
0,1,4,87,1,3,90,1,4,76,1,5,36
0,1,2,90,1,3,90,1,1,89,1,6,12
0,1,1,91,1,1,90,1,3,86,1,4,60
0,1,1,91,1,4,83,1,1,90,1,4,80
0,1,1,95,1,4,87,1,3,90,1,4,76
0,1,1,95,1,1,91,1,4,83,1,1,90
0,1,4,83,1,1,95,1,4,87,1,3,90
0,1,2,94,1,1,95,1,1,91,1,4,83
0,1,3,91,1,4,83,1,1,95,1,1,91
0,1,1,91,1,2,94,1,4,83,1,1,95
0,1,1,95,1,2,94,1,4,83,1,1,95
0,1,1,95,1,2,94,1,4,83,1,1,95
0,1,1,95,1,3,91,1,4,83,1,1,95
0,1,2,94,1,3,91,1,2,94,1,4,83
0,1,1,94,1,1,95,1,2,94,1,4,83
0,1,1,95,1,1,95,1,3,91,1,2,94
0,1,4,83,1,2,94,1,1,91,1,2,94
0,1,2,90,1,1,94,1,1,95,1,2,94
0,1,4,83,1,4,83,1,2,94,1,1,91
0,1,1,87,1,2,90,1,1,94,1,1,95
0,1,2,94,1,4,83,1,4,83,1,2,94
0,1,3,91,1,1,87,1,4,83,1,4,83
0,1,3,93,1,3,91,1,1,87,1,4,83
0,1,4,86,1,3,93,1,3,91,1,1,87
0,1,1,89,1,3,93,1,3,91,1,2,94
0,1,1,97,1,3,93,1,3,91,1,2,94
0,1,1,97,1,3,93,1,3,91,1,2,94
0,1,1,97,1,4,86,1,3,93,1,3,91
0,1,3,93,1,4,86,1,3,93,1,3,91
0,1,4,89,1,1,97,1,3,93,1,3,91
0,1,4,84,1,1,97,1,4,86,1,3,93
0,2,4,67,1,1,97,1,4,86,1,3,93
0,3,4,71,1,3,93,1,4,86,1,3,93
0,3,3,75,1,3,93,1,1,97,1,3,93
0,3,1,73,1,4,89,1,1,97,1,3,93

0,1,1,77,1,6,4,2,6,3,2,6,8
0,1,4,62,1,5,15,2,6,16,2,6,5
1,1,1,84,1,6,27,2,5,43,2,6,4
1,1,2,90,1,6,28,1,6,4,2,6,3
1,1,3,92,1,4,62,1,5,15,2,6,16
1,1,2,93,1,1,84,1,6,27,2,5,43
0,1,2,93,1,2,90,1,6,28,1,6,4
0,1,1,93,1,3,92,1,4,62,1,5,15
1,1,4,84,1,3,92,1,4,62,1,4,57
1,1,1,84,1,2,93,1,1,84,1,6,28
1,1,3,86,1,2,93,1,2,90,1,1,77
1,1,1,90,1,1,93,1,3,92,1,4,62
0,1,3,91,1,1,90,1,1,84,1,2,93
0,1,3,91,1,3,91,1,1,90,1,1,84
0,1,1,90,1,3,91,1,1,90,1,1,90
1,1,1,91,1,3,91,1,1,90,1,1,90
1,1,2,94,1,3,91,1,1,90,1,1,90
0,1,4,86,1,3,91,1,3,91,1,1,90
